247CTF{bb6d77763cd8ee46e303dc2b7046fd02}	WEB CHALLANGES
247CTF{c439cb0d7bbea834d7b71e4b175d13ae}	SOCKET CHALLANGES
247CTF{f9591934c302bc8a29fad566fcf438cd}	new challanges release
247CTF{1928508d14c258c34907f261bb61bee9}	Discuss and learn
247CTF{6ae15c0aeb45a334b3f01eb0dda5cab1}	TIPS AND TRICKS
247CTF{da80795f8a5cab2e037d7385807b9a91}	Secured session
247CTF{6c91b7f7f12c852f892293d16dba0148}	TRUSTED CLIENT
247CTF{76fbce3909b3129536bb396fea3a9879}	COMPARE THE PAIR
247CTF{c69287be15653ac9ab47dcd3f2fcd8fa}	THE TEXT EDITOR JAIL
247CTF{38f5daf742a4b3d74b3a7575bf4d7d1e}	AN IMPOSSIBLE NUMBER
247CTF{0e310979093ef6309adcbcb418145200}	TRY AND CATCH
247CTF{3c435fe8a89cb0c65fdfcf0089669808}	THE FLAG LOTTERY
247CTF{ca4e3b7f913ca7ca8f33fb0504f2947f}	MY MAGIC BYTES
247CTF{aedd410d06584baedcbb59382ddd2649}	SUSPICIOUS CAESAR CIPHER
